Index,Electrolyte,Cathode,Difference in TEC,Average TEC
284,Li1Rb1S1,Li2Mn1O3,0.955857221,1.032925419
285,Li1O4Rb1S1,Li2Mn1O3,0.085941839,0.597967727
286,Ge1Li2Pb1S4,Li2Mn1O3,0.207366539,0.658680077
287,Au1Li3S2,Li2Mn1O3,0.733654082,0.921823849
288,F1Li1Ni1O4S1,Li2Mn1O3,0.045954293,0.577973955
289,As1Li3S3,Li2Mn1O3,0.379299396,0.744646506
290,Au1Li1S1,Li2Mn1O3,0.540001139,0.824997377
291,Li1Na1S1,Li2Mn1O3,0.778872466,0.944433041
292,F1Li1O4S1Zn1,Li2Mn1O3,0.105630217,0.607811917
293,H2Li2O5S1,Li2Mn1O3,0.072410011,0.591201813
294,As1Eu1Li1S3,Li2Mn1O3,0.157953825,0.633973721
295,H1Li1S1,Li2Mn1O3,0.496142971,0.803068294
296,Li1S6Ti3,Li2Mn1O3,0.062811173,0.523591222
297,Li9N1S3,Li2Mn1O3,0.560460006,0.835226811
298,K1Li1O4S1,Li2Mn1O3,0.069551529,0.589772573
299,Li1Mo1S2,Li2Mn1O3,0.118019622,0.495986997
300,F1Fe1Li1O4S1,Li2Mn1O3,0.014921825,0.562457721
301,Li7P3S11,Li2Mn1O3,0.216703116,0.663348366
302,Li1S2V1,Li2Mn1O3,0.071943329,0.519025144
303,Cs1H4Li1O5S1,Li2Mn1O3,0.283780699,0.696887158
304,Ga2Ge1Li2S6,Li2Mn1O3,0.151578852,0.630786234
305,Li1O5S2Ti2Y2,Li2Mn1O3,0.140516705,0.484738455
306,H4K1Li1N2O6S2,Li2Mn1O3,0.047261431,0.578627524
307,Cs1H4Li1N2O6S2,Li2Mn1O3,0.082521946,0.596257781
308,Li2O4S1,Li2Mn1O3,0.012185603,0.56108961
309,Li2S1,Li2Mn1O3,0.616504331,0.863248974
310,H5Li1N2O4S1,Li2Mn1O3,0.355424407,0.732709011
311,Li2O5S2Ti2Y2,Li2Mn1O3,0.127002148,0.491495734
312,C1F3Li1O3S1,Li2Mn1O3,0.030490489,0.570242053
313,Eu1Li1O8S2,Li2Mn1O3,0.070991212,0.519501202
314,Li1S1,Li2Mn1O3,1.037723689,1.073858653
315,Li1Nb1S2,Li1Mn1O2,0.136666364,0.479514196
316,Cs2Li1Nb1S4,Li1Mn1O2,0.027802393,0.561748575
317,Al1Li1S2,Li1Mn1O2,0.141483514,0.618589135
